dataset,class,feature,coef,abs_coef
mat,eleve,schoolsup_yes,-1.370761605614865,1.370761605614865
mat,eleve,higher_yes,0.6805763937192231,0.6805763937192231
mat,eleve,sex_M,0.652328727697925,0.652328727697925
mat,eleve,failures,-0.34020611805981493,0.34020611805981493
mat,eleve,Mjob_health,0.31856897825447283,0.31856897825447283
mat,eleve,parent_edu_index,0.2898668844675062,0.2898668844675062
mat,eleve,Mjob_teacher,-0.2764944859822976,0.2764944859822976
mat,eleve,Mjob_other,-0.2763428942683969,0.2763428942683969
mat,eleve,risk_index,-0.24721938300372412,0.24721938300372412
mat,eleve,romantic_yes,-0.20799730014827125,0.20799730014827125
mat,eleve,alcohol_index,-0.20344495683292613,0.20344495683292613
mat,eleve,health,-0.19432364936528435,0.19432364936528435
mat,eleve,Mjob_services,0.17536630371204748,0.17536630371204748
mat,eleve,reason_home,0.16298260300184741,0.16298260300184741
mat,eleve,address_U,0.15713719453178662,0.15713719453178662
mat,eleve,age,-0.12839913865939515,0.12839913865939515
mat,eleve,absences,-0.07872466346953366,0.07872466346953366
mat,eleve,internet_yes,0.07752642898823409,0.07752642898823409
mat,eleve,reason_other,0.07690237705212857,0.07690237705212857
mat,eleve,studytime,0.07584319659812555,0.07584319659812555
mat,eleve,reason_reputation,0.0628631687256831,0.0628631687256831
mat,eleve,school_MS,0.04650942009292499,0.04650942009292499
mat,eleve,resource_ambition_count,-0.01975932412318055,0.01975932412318055
mat,eleve,goout,0.014180137682606129,0.014180137682606129
mat,faible,schoolsup_yes,0.7816524990982713,0.7816524990982713
mat,faible,failures,0.5260320892708448,0.5260320892708448
mat,faible,Mjob_services,-0.5075150677916267,0.5075150677916267
mat,faible,higher_yes,-0.42833479639725786,0.42833479639725786
mat,faible,address_U,-0.39571583624379275,0.39571583624379275
mat,faible,sex_M,-0.34616146083208355,0.34616146083208355
mat,faible,Mjob_teacher,0.3094464325684589,0.3094464325684589
mat,faible,school_MS,0.26621020547438523,0.26621020547438523
mat,faible,internet_yes,-0.25874724563995816,0.25874724563995816
mat,faible,risk_index,0.23120380237562796,0.23120380237562796
mat,faible,parent_edu_index,-0.18426811888650413,0.18426811888650413
mat,faible,resource_ambition_count,0.18061615630048364,0.18061615630048364
mat,faible,Mjob_health,-0.15887315840750493,0.15887315840750493
mat,faible,goout,0.15499348183744074,0.15499348183744074
