dataset,model,target,threshold,n_features,baseline_metric,primary_metric,rmse,r2,accuracy,balanced_accuracy,f1,roc_auc,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean
mat,linear_context_only,G3,,10,3.6907197661673368,3.4709235823633544,4.393062511939881,0.1220570211861518,,,,,,,,,
mat,logistic_context_only,G3 >= median (11),11.0,10,0.5294117647058824,0.5546218487394958,,,0.5546218487394958,0.5545634920634921,0.5691056910569106,0.5598072562358276,0.5822784810126582,0.07380951765626964,0.5784410763229763,0.6195459794743859,0.6172875332695615
mat,linear_with_G1_G2,G3,,12,3.6907197661673368,1.348230268503107,2.0653306926598503,0.8059512981204662,,,,,,,,,
mat,logistic_with_G1_G2,G3 >= median (11),11.0,12,0.5294117647058824,0.9327731092436975,,,0.9327731092436975,0.9325396825396826,0.9365079365079365,0.9812925170068026,0.9139240506329113,0.038726730482983196,0.9141071201404962,0.9182411968618865,0.9776296377066596
por,linear_context_only,G3,,10,2.4477239353891336,2.222437306701466,3.0284501057997386,0.17061050927454446,,,,,,,,,
por,logistic_context_only,G3 >= median (12),12.0,10,0.5384615384615384,0.6666666666666666,,,0.6666666666666666,0.6650793650793652,0.6889952153110048,0.7377777777777779,0.6656529516994634,0.023426373315858715,0.6607753792892781,0.7001916733227238,0.713696093405288
por,linear_with_G1_G2,G3,,12,2.4477239353891336,0.757938268406206,1.1711741044155024,0.8759603293141683,,,,,,,,,
por,logistic_with_G1_G2,G3 >= median (12),12.0,12,0.5384615384615384,0.9282051282051282,,,0.9282051282051282,0.9285714285714286,0.9326923076923077,0.9823280423280423,0.9213714967203339,0.0332880966895025,0.921431456402946,0.926461556798229,0.9812040072859745
