dataset,model,feature,coef,abs_coef
por,elasticnet_full_no_grades,Fedu,0.17267755671556673,0.17267755671556673
por,elasticnet_full_no_grades,studytime,0.13465948643117612,0.13465948643117612
por,elasticnet_full_no_grades,Fjob_services,-0.11142085715707856,0.11142085715707856
por,elasticnet_full_no_grades,resource_ambition_count,0.07842949599819853,0.07842949599819853
por,elasticnet_full_no_grades,famrel,0.05996159756197146,0.05996159756197146
por,elasticnet_full_no_grades,paid_yes,-0.058507675798680395,0.058507675798680395
por,elasticnet_full_no_grades,traveltime,-0.04306013635736715,0.04306013635736715
por,elasticnet_full_no_grades,internet_yes,0.021863462121453497,0.021863462121453497
por,elasticnet_full_no_grades,age,0.0,0.0
por,elasticnet_full_no_grades,Medu,0.0,0.0
por,elasticnet_full_no_grades,freetime,-0.0,0.0
por,elasticnet_full_no_grades,goout,0.0,0.0
por,elasticnet_full_no_grades,Walc,-0.0,0.0
por,elasticnet_full_no_grades,absences,-0.0,0.0
por,elasticnet_full_no_grades,famsup_yes,0.0,0.0
por,elasticnet_full_no_grades,activities_yes,0.0,0.0
por,elasticnet_full_no_grades,nursery_yes,-0.0,0.0
por,elasticnet_full_no_grades,romantic_yes,-0.0,0.0
por,elasticnet_full_no_grades,parent_edu_index,0.0,0.0
por,elasticnet_full_no_grades,alcohol_index,-0.0,0.0
por,elasticnet_full_no_grades,social_life_index,-0.0,0.0
por,elasticnet_full_no_grades,study_vs_social_index,0.0,0.0
por,elasticnet_full_no_grades,support_count,-0.0,0.0
por,elasticnet_full_no_grades,sex_M,-0.0,0.0
por,elasticnet_full_no_grades,address_U,0.0,0.0
por,elasticnet_full_no_grades,famsize_LE3,0.0,0.0
por,elasticnet_full_no_grades,Pstatus_T,-0.0,0.0
por,elasticnet_full_no_grades,Mjob_health,0.0,0.0
por,elasticnet_full_no_grades,Mjob_other,-0.0,0.0
por,elasticnet_full_no_grades,Mjob_services,-0.0,0.0
por,elasticnet_full_no_grades,Mjob_teacher,0.0,0.0
por,elasticnet_full_no_grades,Fjob_health,-0.0,0.0
por,elasticnet_full_no_grades,Fjob_other,0.0,0.0
por,elasticnet_full_no_grades,Fjob_teacher,-0.0,0.0
por,elasticnet_full_no_grades,reason_home,0.0,0.0
por,elasticnet_full_no_grades,guardian_mother,-0.0,0.0
por,elasticnet_full_no_grades,guardian_other,0.0,0.0
