dataset,model,n_features,test_mae_baseline,test_mae_model,test_r2,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,alpha,l1_ratio
mat,elasticnet_indices_only,10,3.6907197661673368,3.346940990730646,0.12610634133491916,3.2882911452754806,0.34299149567309545,0.05617454422294612,0.027360479497158974,0.08531678524172806,1.0
mat,elasticnet_full_no_grades,46,3.6907197661673368,3.401604244865538,0.14060335402198287,3.292613562326756,0.21700542052879537,0.09521613391711477,0.060745429208628104,0.7880462815669912,0.1
mat,random_forest_full_no_grades,37,3.6907197661673368,3.1943318954326196,0.26454791177341297,2.959645891697295,0.1963844714386758,0.27458435099929857,0.06954784900057376,,
por,elasticnet_indices_only,10,2.4477239353891336,2.082244609572998,0.21189063410322428,2.067478793363235,0.2218851896500982,0.18931347306740723,0.053303701114462254,0.11721022975334805,1.0
por,elasticnet_full_no_grades,46,2.4477239353891336,2.1174991530860177,0.2501077375146443,1.9708955388888783,0.13145794966825833,0.274015182444184,0.058707593709867535,0.08531678524172806,1.0
por,random_forest_full_no_grades,37,2.4477239353891336,2.0860590807530413,0.2722785406677639,1.9685404408145928,0.14863784081484344,0.29002055477034194,0.06806430787925538,,
